stationID,longitude,latitude
,degrees_east,degrees_north
IENWBWC100_0000_0100_MODELLED,-7.710715,55.25211
IENWBWC100_0000_0200_MODELLED,-8.080002,55.16741
IENWBWC100_0000_0300_MODELLED,-8.16312,55.15162
IENWBWC120_0000_0100_MODELLED,-8.44872,54.84193
IENWBWC120_0000_0200_MODELLED,-8.396229,54.8737
IENWBWC160_0000_0100_MODELLED,-8.316895,55.09328
IENWBWC160_0000_0200_MODELLED,-8.354972,55.05328
IENWBWC190_0000_0100_MODELLED,-7.850629,55.18533
IENWBWC190_0000_0200_MODELLED,-7.883449,55.18277
IENWBWC190_0000_0300_MODELLED,-7.931232,55.18835
IENWBWC190_0000_0400_MODELLED,-7.946204,55.19647
IENWBWC220_0000_0100_MODELLED,-7.487214,55.11037
IENWBWC220_0000_0200_MODELLED,-7.520215,55.10787
IENWBWC220_0000_0300_MODELLED,-7.605385,55.195
IENWBWC230_0000_0100_MODELLED,-6.913856,55.22887
IENWBWC230_0000_0200_MODELLED,-7.132051,55.30617
IENWBWT220_0400_0100_MODELLED,-7.469354,55.12112
IESEBWC010_0000_0100_MODELLED,-6.370083,52.28162
IESEBWC010_0000_0200_MODELLED,-6.352418,52.39717
IESEBWC010_0000_0250_MODELLED,-6.352418,52.39717
IESEBWC010_0000_0300_MODELLED,-6.226534,52.51189
IESEBWC010_0000_0400_MODELLED,-6.216523,52.65134
IESEBWC010_0000_0500_MODELLED,-6.195878,52.68085
IESEBWC050_0000_0100_MODELLED,-7.701364,51.9546
IESEBWC050_0000_0200_MODELLED,-7.357159,52.12928
IESEBWC050_0000_0235_MODELLED,-6.8357,52.17105
IESEBWC050_0000_0300_MODELLED,-6.333924,52.19737
IESEBWC100_0000_0100_MODELLED,-6.977552,52.14642
IESEBWC100_0000_0200_MODELLED,-6.977552,52.14642
IESEBWC110_0000_0100_MODELLED,-7.141426,52.15565
IESEBWC140_0000_0100_MODELLED,-7.529146,52.09794
IESEBWT100_0100_0100_MODELLED,-6.925066,52.18029
IESHBWC040_0000_0100_MODELLED,-9.857915,52.37237
IESHBWC040_0000_0200_MODELLED,-9.845314,52.34349
IESHBWC040_0000_0250_MODELLED,-9.87027,52.27205
IESHBWC040_0000_0300_MODELLED,-10.00027,52.26236
IESHBWC040_0000_0400_MODELLED,-10.01539,52.27116
IESHBWC060_0000_0050_MODELLED,-9.681223,52.59646
IESHBWC060_0000_0100_MODELLED,-9.497121,52.62178
IESHBWC060_0000_0200_MODELLED,-9.677233,52.50666
IESHBWC060_0000_0300_MODELLED,-9.677233,52.50666
IESHBWC070_0000_0100_MODELLED,-9.296002,53.11772
IESHBWC070_0000_0200_MODELLED,-9.444229,52.87658
IESHBWC070_0000_0300_MODELLED,-9.449945,52.83608
IESHBWC070_0000_0330_MODELLED,-9.468058,52.82457
IESHBWC070_0000_0350_MODELLED,-9.486172,52.81306
IESHBWC070_0000_0400_MODELLED,-9.667155,52.69788
IESHBWC080_0000_0100_MODELLED,-9.543382,52.75822
IESHBWC100_0000_0100_MODELLED,-9.353781,52.93394
IESWBWC010_0000_0100_MODELLED,-9.253851,51.48892
IESWBWC020_0000_0100_MODELLED,-7.86166,51.91449
